"Variable / Field Name","Field Label","Choices, Calculations, OR Slider Labels"
"screening_1","Does you patient have a confirmed diagnosis of acute","1, Yes | 0, No"
"screening_2","Is the patient 16 years of age or older?","1, Yes | 0, No"
"screening_3","Is the patient due for discharge from an NHS secondary","1, Yes | 0, No"
"screening_4","Does the patient lack capacity to be consented?","0, Yes | 1, No"
"approached_yn","Was the patient approached about participating in","1, Yes | 0, No"
"consent_yn","Will the patient be consented to participate in","1, Yes | 0, No"
"consent_n","If the patient was approached but declined to take part","1, Yes | 0, No"
"screening_complete","","0, Incomplete | 1, Unverified | 2, Complete"
"cons2","I confirm that I have had the opportunity to ask any","1, Yes | 0, No"
"cons4","I understand and agree that my hospital research team","1, Yes | 0, No"
"cons6","I understand that my contact details are required to","1, Yes | 0, No"
"cons7","I understand that the information collected will be used","1, Yes | 0, No"
"cons9","I agree to be contacted, at the email address I have given, yesno, Required","1, Yes | 0, No"
"cons10","I understand that my GP will be told that I am taking part","1, Yes | 0, No"
"cons11","I understand that outcomes of my questionnaires will not yesno, Required","1, Yes | 0, No essage with            Custom alignment: RH act."
"cons12","I agree to take part in this study.","1, Yes | 0, No"
"cons_checked","#adm","1, Yes | 0, No"
"complete_pref","How would the participant like to complete their post-","1, Electronically via emailed link | 2, On paper"
"reminder_pref","How would the participant like to be reminded to","1, Email | 2, SMS - text message"
"address_4","County","1, Aberdeen City | 2, Aberdeenshire | 3, Anglesey | 4, Angus | 52, Leicestershire | 53, Lincolnshire | 54, Merionethshire | 55, Merseyside | 56, Midlothian | 57, Monmouthshire | 58, Montgomeryshire | 59, Moray | 60, Norfolk | 61, North Ayrshire | 62, North Lanarkshire | 63, North Yorkshire | 64, Northamptonshire | 65, Northumberland | 66, Nottinghamshire | 67, Orkney Islands | 68, Oxfordshire | 69, Pembrokeshire | 70, Perth and Kinross | 71, Radnorshire | 72, Renfrewshire | 73, Scottish Borders | 74, Shetland Islands | 75, Shropshire | 76, Somerset | 77, South Ayrshire | 78, South Lanarkshire | 79, South Yorkshire | 80, Staffordshire | 81, Stirling | 82, Suffolk | 83, Surrey | 84, Tyne and Wear | 85, Tyrone | 86, Warwickshire | 87, West Berkshire | 88, West Dunbartonshire | 89, West Lothian | 90, West Midlands | 91, West Sussex | 92, West Yorkshire | 93, Wiltshire | 94, Worcestershire"
"consent_complete","","0, Incomplete | 1, Unverified | 2, Complete"
"q1","How often do you have a drink containing alcohol?","0, Never | 1, Monthly or Less | 2, 2 to 4 times a month | 3, 2 to 3 times a week | 4, 4 or more times a week"
"q2","How many drinks containing alcohol do you have on a","0, 1 or 2 | 1, 3 or 4 | 2, 5 or 6 to 9"
"q3","How often have you had 6 or more units if","0, Never occasion in the last year? | 1, Less than monthly | 2, Monthly | 3, Weekly | 4, Daily or almost daily"
"audit_c_complete","","0, Incomplete | 1, Unverified | 2, Complete"
"sex","Sex","1, Female | 2, Male | 3, Not disclosed / not known"
"ethnicity","dropdown, Required","1, White | 2, Asian or Asian British | 3, Mixed | 4, Black or Black British | 16, Other | -99, Unknown"
"eth_white","dropdown, Required","1, English, Welsh, Scottish, Northern Irish or British | 2, Irish | 3, Gypsy or Irish Traveller | 4, Roma | 5, Any other White background"
"eth_asian","dropdown, Required","1, Indian | 2, Pakistani | 3, Bangladeshi | 4, Chinese | 5, Any other Asian background"
"eth_mixed","dropdown, Required","1, White and Black Caribbean | 2, White and Black African | 3, White and Asian | 4, Any other Mixed or multiple ethnic background"
"eth_black","dropdown, Required","1, Caribbean | 2, African | 3, Any other Black, Black British, or Caribbean background"
"prev_panc_yn","","1, Yes | 0, No"
"prev_panc_aetio","Aetiology of previous episode/s Please tick all that apply","1, prev_panc_aetio___1      Gallstones | 2, prev_panc_aetio___2      Alcohol | 3, prev_panc_aetio___3      Drug related | 4, prev_panc_aetio___4      Idiopathic | 5, prev_panc_aetio___5      Other | -99, prev_panc_aetio____99 Not known"
"prev_panc_drug","Please specify the drug:","1, Steroids | 2, Thiazide diuretics | 3, Azothioprine | 4, Valoret | 5, Carbamazepine | 0, Other"
"prev_psych_yn","","1, Yes | 0, No"
"prev_psych_y","Specify any previous diagnoses Please tick all that apply","1, prev_psych_y___1   Anxiety | 2, prev_psych_y___2   Depression | 4, prev_psych_y___4   Other | -99, prev_psych_y____99 Not known"
"comorb_diab","diabetes","0, No | 1, Diet controlled | 2, Uncomplicated | 3, End-organ damage"
"comorb_ckd","CKD","1, Yes | 0, No"
"comorb_liver","Chronic Liver disease","0, None | 1, Mild | 2, Moderate to severe"
"comorb_cancer","Cancer","1, Yes | 0, No"
"comorb_copd","COPD","1, Yes | 0, No om alignment: RH"
"comorb_cardio","Cardiovascular disease","1, Yes | 0, No"
"comorb_frailty","Frailty index","1, Very !t | 2, Fit | 3, Managing well | 4, Living with very mild frailty | 5, Living with mild faulty | 6, Living with moderate frailty | 7, Living with severe frailty | 8, Living with very severe frailty | 9, Terminally ill | 0, Unknown"
"comorb_smoke","Smoking","1, Never smoked or vaped | 2, Ex smoker/ vaper (> 6 weeks) | 3, Current or recently ceased (< 6 weeks) smoker/ vaper"
"comorb_etoh","History of excess alcohol use?","1, Yes | 0, No"
"demo_created_time","Created time","0, Incomplete | 1, Unverified | 2, Complete"
"index_admiss_from","Where was the patient admitted from","1, Community | 2, Other secondary care team at this hospital | 3, Transfer for tertiary care"
