"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","record_creation","","text","Record ID","","","integer","","","","","y","","","","","#cdi"
"rc_newrecord","record_creation","","radio","Do you want to create a new record?","1, Yes | 0, No","","","","","","[user-dag-label] != ""**AWAITING DAG**"" AND [site_check] = '1'","","RH","","","","#sys"
"rc_warning_emails","record_creation","","descriptive","The PI and Site email fields have not been set up for your site, please contact BCTU to set up your notification emails","","","","","","","[user-dag-label] != ""**AWAITING DAG**"" AND [user-dag-label] != """" AND ([site_check] = 'No site record' OR [site_check] = ""0"")","","","","","","#inf"
"rc_warning_emails_2","record_creation","","descriptive","You are not in a DAG. To create a record, you must be in a DAG so that PI and Site email fields for the site can be associated with the record.","","","","","","","[user-dag-label]='' AND [record-dag-label]=''","","","","","","#inf"
"rc_warning_active","record_creation","","descriptive","Your DAG (Site) is NOT allowed to recruit participants so records cannot be added.","","Contact the Trial Team.","","","","","[user-dag-label] != ""**AWAITING DAG**"" AND [user-dag-label] != """" AND [site_check] = ""2""","","","","","","#inf"
"rc_warning_dag","record_creation","","descriptive","You are currently assigned to the '[user-dag-label]' Data Access Group - before you'll be able to add/save data you need to be reassigned to a site Data Access Group by the Trial Team.","","","","","","","[user-dag-label] = ""**AWAITING DAG**""","","","","","","#inf"
"rc_warning_create","record_creation","","descriptive","You must confirm you wish to create a record (i.e. add a participant) before you can save the form (and create the record).","","","","","","","[user-dag-label] != ""**AWAITING DAG**"" AND [site_check] = '1' AND [rc_newrecord] != '1'","","","","","","#inf"
"site_name","record_creation","","calctext","DAG","","","","","","","","","","","","","#sys"
"site_id","record_creation","","calctext","DAG ID","","","","","","","","","","","","","#sys"
"site_check","record_creation","","sql","Check site status","","(No site record=No site record, 0=Missing data, 1=Data present and recruiting 2=Data present but NOT recruiting)","","","","","","","","","","","#sys"
"site_country","record_creation","","radio","Site country","3, England | 4, Wales | 1, Scotland | 2, Northern Ireland","","","","","","[site_country]!=''","","RH","","","","#sys"
"pi_email","record_creation","","text","PI email","","","email","","","","[pi_email]!=''","","","","","","#sys"
"site_email1","record_creation","","text","Site email 1","","","email","","","","[site_email1]!=''","","","","","","#sys"
"site_email2","record_creation","","text","Site email 2","","","email","","","","[site_email2]!=''","","","","","","#sys"
"site_email3","record_creation","","text","Site email 3","","","email","","","","[site_email3]!=''","","","","","","#sys"
"site_email4","record_creation","","text","Site email 4","","","email","","","","[site_email4]!=''","","","","","","#sys"
"site_email5","record_creation","","text","Site email 5","","","email","","","","[site_email5]!=''","","","","","","#sys"
"rc_stdfooter","record_creation","","descriptive","Created by [rc_created_by] on [rc_created_dt] at [rc_created_tm]","","","","","","","","","","","","","#adm"
"rc_created_by","record_creation","","text","Record created by","","","","","","","","","","","","","#sys"
"rc_created_dt","record_creation","","text","Record created date","","","date_dmy","","","","","","","","","","#sys"
"rc_created_tm","record_creation","","text","Record created time","","","time","","","","","","","","","","#sys"
"rc_created_dttm","record_creation","","text","Record created datetime","","","datetime_dmy","","","","","","","","","","#sys"
"rc_created_dt_min3d","record_creation","","calcdate","Record created date minus 3 days","","Form Status","date_dmy","","","","","","","","","","#sys"
"record_creation_complete","record_creation","","dropdown","Complete?","0, Incomplete | 1, Unverified | 2, Complete","","","","","","","","","","","",""
"cae_version","consent_eligibility","","dropdown","FORMAP Form Version","0, Dev | 1, 1.0","","","","","","[cae_version]!=''","","","","","","#sys"
"cae_stdhr","consent_eligibility","","descriptive","Participant Trial Number [first-event-name][record_id] Participating site [record-dag-label]","","","","","","","","","","","","","#inf"
"cae_form_title","consent_eligibility","","descriptive","Consent & Eligibility Form v[cae_version]","","Consent","","","","","","","","","","","#inf"
"cae_consent_pt","consent_eligibility","","radio","Has the patient provided consent?","1, Yes | 0, No","","","","","","[cae_version]!=''","y","RH","","","","#cdi"
"cae_term1","consent_eligibility","","calctext","Term 1","","","","","","","[cae_consent_pt]='0'","","","","","","#sys"
"cae_term2","consent_eligibility","","calctext","Term 2","","","","","","","[cae_consent_pt]='0'","","","","","","#sys"
"cae_consent_pc_lr","consent_eligibility","","radio","Has the [cae_term1] provided [cae_term2] due to the patient temporarily lacking capacity to consent?","1, Yes | 0, No","","","","","","[cae_consent_pt]='0'","y","RH","","","","#cdi"
"cae_term3","consent_eligibility","","calctext","Term 3","","","","","","","[cae_consent_pt]!=''","","","","","","#sys"
"cae_consent_rec_dttm","consent_eligibility","","text","Date and time [cae_term3] was received:","","","datetime_dmy","[rc_created_dttm]","now","","[cae_consent_pt]='1' OR [cae_consent_pc_lr]='1'","y","","","","","#cdi | // Min: Record created datetime, Max: now \\"
"cae_consent_rec_dttm_min7d","consent_eligibility","","calcdate","Date and time [cae_term3] was received - 7 days","","","datetime_dmy","","","","[cae_consent_pt]='1' OR [cae_consent_pc_lr]='1'","","","","","","#sys"
"cae_consent_rec_dt","consent_eligibility","","calcdate","Date [cae_term3] was received","","","date_dmy","","","","[cae_consent_pt]='1' OR [cae_consent_pc_lr]='1'","","","","","","#sys"
"cae_consent_rec_dt_min7d","consent_eligibility","","calcdate","Date [cae_term3] was received - 7 days","","","date_dmy","","","","[cae_consent_pt]='1' OR [cae_consent_pc_lr]='1'","","","","","","#sys"
"cae_dob_min","consent_eligibility","","calcdate","Date [cae_term3] was received - 100 years","","","date_dmy","","","","[cae_consent_pt]='1' OR [cae_consent_pc_lr]='1'","","","","","","#sys"
"cae_dob_max","consent_eligibility","","calcdate","Date [cae_term3] was received - 18 years","","","date_dmy","","","","[cae_consent_pt]='1' OR [cae_consent_pc_lr]='1'","","","","","","#sys"
"cae_1_i","consent_eligibility","","descriptive","Consent must be received by a suitably qualified medical practitioner who is delegated this task on the TONIC Site Signature and Delegation Log","","","","","","","[cae_consent_pt]='1' OR [cae_consent_pc_lr]='1'","","","","","","#inf"
"cae_consent_rec_by","consent_eligibility","","sql","Name of person receiving [cae_term3]:","","","","","","","[cae_consent_pt]='1' OR [cae_consent_pc_lr]='1'","y","","","","","#cdi"
"cae_2_i","consent_eligibility","","descriptive","Please ensure that the date of discussion, the name of the trial, summary of discussion, version number of the PIS given to participant, version number of ICF signed, date consent received and name of the person receiving consent, is recorded in the participant's medical notes","","Please ensure that the original consent form is retained in the site file, a signed copy of the consent form is given to the patient/personal consultee/legal representative, a copy is kept in the patient's notes and a copy is sent to BCTU","","","","","[cae_consent_pt]='1' OR [cae_consent_pc_lr]='1'","","","","","","#inf"
"cae_dob","consent_eligibility","","text","Date of birth:","","","date_dmy","[cae_dob_min]","[cae_dob_max]","","[cae_consent_rec_dttm]!=''","y","","","","","#cdi # pii | // Min: Date [cae_term3] was received - 100 years, Max: Date [cae_term3] was received - 18 years \\"
"cae_age","consent_eligibility","","calc","Age","","","","","","","[cae_consent_rec_dttm]!=''","","","","","","#sys"
"cae_dob_my","consent_eligibility","","calctext","Partial DOB:","","","","","","y","[cae_consent_rec_dttm]!=''","","","","","","#sys"
"cae_3_i","consent_eligibility","","descriptive","This patient is NOT ELIGIBLE to participate in the TONIC Trial, as the date of birth entered indicates the patient is NOT aged 18-100 years. Please check and re-enter the patients date of birth.","","","","","","","[cae_age]!='' AND ([cae_age]<18 OR [cae_age]>100)","","","","","","#inf"
