"Site","Event","Form","Expected","Due","Entered","% Due Entered","% Expected Entered"
".Overall","Baseline","Randomisation",65,65,61,93.8,93.8
".Overall","Baseline","Consent & eligibility",65,65,62,95.4,95.4
".Overall","Baseline","EQ-5D",65,65,57,87.7,87.7
".Overall","Discharge","Discharge form",65,63,59,93.7,90.8
".Overall","Discharge","PRODIGI",65,63,53,84.1,81.5
".Overall","Discharge","EQ-5D",65,63,57,90.5,87.7
".Overall","Discharge","QoR-15",65,63,52,82.5,80
".Overall","Day 30","Day 30 form",65,53,51,96.2,78.5
".Overall","Day 30","EQ-5D",65,53,45,84.9,69.2
".Overall","Day 30","Patient satisfaction",65,53,46,86.8,70.8
".Overall","Day 30","HRUQ",65,53,43,81.1,66.2
".Overall","Day 90","Day 90 form",65,41,37,90.2,56.9
".Overall","Day 90","EQ-5D",65,41,32,78,49.2
".Overall","Day 90","HRUQ",65,41,33,80.5,50.8
"Example site A","Baseline","Randomisation",15,15,15,100,100
"Example site A","Baseline","Consent & eligibility",15,15,15,100,100
"Example site A","Baseline","EQ-5D",15,15,14,93.3,93.3
"Example site A","Discharge","Discharge form",15,14,14,100,93.3
"Example site A","Discharge","PRODIGI",15,14,14,100,93.3
"Example site A","Discharge","EQ-5D",15,14,13,92.9,86.7
"Example site A","Discharge","QoR-15",15,14,12,85.7,80
"Example site A","Day 30","Day 30 form",15,12,12,100,80
"Example site A","Day 30","EQ-5D",15,12,11,91.7,73.3
"Example site A","Day 30","Patient satisfaction",15,12,12,100,80
"Example site A","Day 30","HRUQ",15,12,11,91.7,73.3
"Example site A","Day 90","Day 90 form",15,9,9,100,60
"Example site A","Day 90","EQ-5D",15,9,9,100,60
"Example site A","Day 90","HRUQ",15,9,7,77.8,46.7
"Example site B","Baseline","Randomisation",11,11,11,100,100
"Example site B","Baseline","Consent & eligibility",11,11,11,100,100
"Example site B","Baseline","EQ-5D",11,11,10,90.9,90.9
"Example site B","Discharge","Discharge form",11,10,10,100,90.9
"Example site B","Discharge","PRODIGI",11,10,9,90,81.8
"Example site B","Discharge","EQ-5D",11,10,10,100,90.9
"Example site B","Discharge","QoR-15",11,10,9,90,81.8
"Example site B","Day 30","Day 30 form",11,9,9,100,81.8
"Example site B","Day 30","EQ-5D",11,9,8,88.9,72.7
"Example site B","Day 30","Patient satisfaction",11,9,8,88.9,72.7
"Example site B","Day 30","HRUQ",11,9,9,100,81.8
"Example site B","Day 90","Day 90 form",11,7,7,100,63.6
"Example site B","Day 90","EQ-5D",11,7,5,71.4,45.5
